"Consumer price index (2015=100) by commodity group, time and unit"

" "," ","Index","Percentage change compared to previous month (per cent)","Percentage change compared to same month the year before (per cent)"
"02.1.1.1 Spirits and liqueurs"
" ","2014M04",..,..,..
" ","2014M05",..,..,..
" ","2014M06",..,..,..
" ","2014M07",..,..,..
" ","2014M08",..,..,..
" ","2014M09",..,..,..
" ","2014M10",..,..,..
" ","2014M11",..,..,..
" ","2014M12",..,..,..
" ","2015M01",..,..,..
" ","2015M02",..,..,..
" ","2015M03",..,..,..
" ","2015M04",..,..,..
" ","2015M05",..,..,..
" ","2015M06",..,..,..
" ","2015M07",..,..,..
" ","2015M08",..,..,..
" ","2015M09",..,..,..
" ","2015M10",..,..,..
" ","2015M11",..,..,..
" ","2015M12",100.0,..,..
" ","2016M01",98.6,-1.4,..
" ","2016M02",103.4,4.9,..
" ","2016M03",104.0,0.6,..
" ","2016M04",101.9,-2.0,..
" ","2016M05",99.4,-2.5,..
" ","2016M06",98.7,-0.7,..
" ","2016M07",96.3,-2.4,..
" ","2016M08",98.6,2.4,..
" ","2016M09",101.9,3.3,..
" ","2016M10",100.8,-1.1,..
" ","2016M11",98.9,-1.9,..
" ","2016M12",105.3,6.5,5.3
" ","2017M01",106.8,1.4,8.3
" ","2017M02",98.1,-8.1,-5.1
" ","2017M03",98.5,0.4,-5.3
" ","2017M04",95.0,-3.6,-6.8
" ","2017M05",101.2,6.5,1.8
" ","2017M06",103.4,2.2,4.8
" ","2017M07",93.1,-10.0,-3.3
" ","2017M08",100.8,8.3,2.2
" ","2017M09",102.2,1.4,0.3
" ","2017M10",100.5,-1.7,-0.3
" ","2017M11",99.2,-1.3,0.3
" ","2017M12",100.3,1.1,-4.7
" ","2018M01",97.5,-2.8,-8.7
" ","2018M02",91.1,-6.6,-7.1
" ","2018M03",89.6,-1.6,-9.0
" ","2018M04",89.2,-0.4,-6.1
" ","2018M05",86.5,-3.0,-14.5
" ","2018M06",82.9,-4.2,-19.8
" ","2018M07",85.0,2.5,-8.7
" ","2018M08",82.6,-2.8,-18.1
" ","2018M09",84.9,2.8,-16.9
" ","2018M10",88.4,4.1,-12.0
" ","2018M11",85.1,-3.7,-14.2
" ","2018M12",86.6,1.8,-13.7
" ","2019M01",85.5,-1.3,-12.3
" ","2019M02",84.9,-0.7,-6.8
" ","2019M03",81.3,-4.2,-9.3
" ","2019M04",79.7,-2.0,-10.7
" ","2019M05",81.1,1.8,-6.2
" ","2019M06",77.5,-4.4,-6.5
" ","2019M07",80.0,3.2,-5.9
" ","2019M08",79.1,-1.1,-4.2
" ","2019M09",71.1,-10.1,-16.3
" ","2019M10",71.9,1.1,-18.7
" ","2019M11",69.1,-3.9,-18.8
" ","2019M12",78.4,13.5,-9.5
" ","2020M01",72.7,-7.3,-15.0
" ","2020M02",71.1,-2.2,-16.3
" ","2020M03",75.7,6.5,-6.9
" ","2020M04",81.3,7.4,2.0
" ","2020M05",80.1,-1.5,-1.2
" ","2020M06",76.9,-4.0,-0.8
" ","2020M07",82.2,6.9,2.8
" ","2020M08",78.7,-4.3,-0.5
" ","2020M09",79.8,1.4,12.2
" ","2020M10",79.8,0.0,11.0
" ","2020M11",83.2,4.3,20.4
" ","2020M12",84.2,1.2,7.4
" ","2021M01",81.7,-3.0,12.4
" ","2021M02",76.5,-6.4,7.6
" ","2021M03",80.7,5.5,6.6
" ","2021M04",75.3,-6.7,-7.4
" ","2021M05",77.0,2.3,-3.9
" ","2021M06",74.2,-3.6,-3.5
" ","2021M07",80.6,8.6,-1.9
" ","2021M08",77.2,-4.2,-1.9
" ","2021M09",80.7,4.5,1.1
" ","2021M10",82.5,2.2,3.4
" ","2021M11",78.3,-5.1,-5.9
" ","2021M12",83.5,6.6,-0.8
" ","2022M01",84.6,1.3,3.5
" ","2022M02",81.4,-3.8,6.4
" ","2022M03",82.1,0.9,1.7
" ","2022M04",77.1,-6.1,2.4
" ","2022M05",74.1,-3.9,-3.8
" ","2022M06",75.9,2.4,2.3
" ","2022M07",79.7,5.0,-1.1
" ","2022M08",80.8,1.4,4.7
" ","2022M09",82.4,2.0,2.1
" ","2022M10",87.5,6.2,6.1
" ","2022M11",86.6,-1.0,10.6
" ","2022M12",81.9,-5.4,-1.9
" ","2023M01",85.4,4.3,0.9
" ","2023M02",83.6,-2.1,2.7
" ","2023M03",85.7,2.5,4.4
" ","2023M04",79.9,-6.8,3.6
" ","2023M05",78.9,-1.3,6.5
" ","2023M06",80.1,1.5,5.5
" ","2023M07",82.4,2.9,3.4
" ","2023M08",83.4,1.2,3.2
" ","2023M09",84.1,0.8,2.1
" ","2023M10",86.8,3.2,-0.8
" ","2023M11",88.7,2.2,2.4
" ","2023M12",90.8,2.4,10.9
" ","2024M01",87.2,-4.0,2.1
" ","2024M02",89.2,2.3,6.7
" ","2024M03",89.7,0.6,4.7
" ","2024M04",90.7,1.1,13.5
" ","2024M05",90.1,-0.7,14.2
" ","2024M06",82.6,-8.3,3.1
" ","2024M07",90.1,9.1,9.3
" ","2024M08",88.1,-2.2,5.6
" ","2024M09",88.5,0.5,5.2
" ","2024M10",91.3,3.2,5.2
" ","2024M11",87.8,-3.8,-1.0
" ","2024M12",89.0,1.4,-2.0
" ","2025M01",89.7,0.8,2.9
" ","2025M02",85.8,-4.3,-3.8
" ","2025M03",84.1,-2.0,-6.2
" ","2025M04",80.8,-3.9,-10.9
" ","2025M05",78.7,-2.6,-12.7
" ","2025M06",84.3,7.1,2.1
" ","2025M07",83.7,-0.7,-7.1
" ","2025M08",88.1,5.3,0.0
" ","2025M09",86.6,-1.7,-2.1
"02.1.2.1 Wine from grapes"
" ","2001M01",..,..,..
" ","2001M02",..,..,..
" ","2001M03",..,..,..
" ","2001M04",..,..,..
" ","2001M05",..,..,..
" ","2001M06",..,..,..
" ","2001M07",..,..,..
" ","2001M08",..,..,..
" ","2001M09",..,..,..
" ","2001M10",..,..,..
" ","2001M11",..,..,..
" ","2001M12",..,..,..
" ","2002M01",..,..,..
" ","2002M02",..,..,..
" ","2002M03",..,..,..
" ","2002M04",..,..,..
" ","2002M05",..,..,..
" ","2002M06",..,..,..
" ","2002M07",..,..,..
" ","2002M08",..,..,..
" ","2002M09",..,..,..
" ","2002M10",..,..,..
" ","2002M11",..,..,..
" ","2002M12",..,..,..
" ","2003M01",..,..,..
" ","2003M02",..,..,..
" ","2003M03",..,..,..
" ","2003M04",..,..,..
" ","2003M05",..,..,..
" ","2003M06",..,..,..
" ","2003M07",..,..,..
" ","2003M08",..,..,..
" ","2003M09",..,..,..
" ","2003M10",..,..,..
" ","2003M11",..,..,..
" ","2003M12",..,..,..
" ","2004M01",..,..,..
" ","2004M02",..,..,..
" ","2004M03",..,..,..
" ","2004M04",..,..,..
" ","2004M05",..,..,..
" ","2004M06",..,..,..
" ","2004M07",..,..,..
" ","2004M08",..,..,..
" ","2004M09",..,..,..
" ","2004M10",..,..,..
" ","2004M11",..,..,..
" ","2004M12",..,..,..
" ","2005M01",..,..,..
" ","2005M02",..,..,..
" ","2005M03",..,..,..
" ","2005M04",..,..,..
" ","2005M05",..,..,..
" ","2005M06",..,..,..
" ","2005M07",..,..,..
" ","2005M08",..,..,..
" ","2005M09",..,..,..
" ","2005M10",..,..,..
" ","2005M11",..,..,..
" ","2005M12",..,..,..
" ","2006M01",..,..,..
" ","2006M02",..,..,..
" ","2006M03",..,..,..
" ","2006M04",..,..,..
" ","2006M05",..,..,..
" ","2006M06",..,..,..
" ","2006M07",..,..,..
" ","2006M08",..,..,..
" ","2006M09",..,..,..
" ","2006M10",..,..,..
" ","2006M11",..,..,..
" ","2006M12",..,..,..
